week,team,user,week total,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,ao_list
1,Prancer,Tinfoil,47,9,24,5,6,,3,,,,,,"black-rock, da-grizz, ravens-nest, the-olympiad, the-silo"
0,Donner,Storm Chaser,45,8,20,5,4,,,5,,3,,,"black-diamond, black-rock, da-grizz, the-colosseum, the-ridge"
1,Rudolph,Napster,45,12,15,5,,,,5,5,3,,,"black-rock, da-grizz, the-colosseum, the-grove, the-olympiad"
0,Comet,Pull-up,44,9,16,5,,,3,5,5,,1,,"black-diamond, dmz, the-grove, the-ridge, the-silo"
0,Prancer,YellowPages,44,,18,,4,5,3,5,5,3,1,,"da-grizz, el-coyote, the-grove, the-olympiad"
0,Rudolph,Celine Dion,44,9,18,,4,5,,5,,3,,,"black-rock, da-grizz, ravens-nest, the-grove"
0,Prancer,Dilbert,42,9,12,,,5,3,5,5,3,,,"black-rock, ravens-nest, the-ridge, the-silo"
0,Prancer,Liberty Biberty,42,6,18,,4,,,5,5,3,1,,"black-rock, the-colosseum, the-grove, the-olympiad"
0,Rudolph,Napster,42,9,15,5,,,,5,5,3,,,"black-rock, da-grizz, the-colosseum, the-grove, the-olympiad"
1,Comet,Pull-up,41,12,16,5,,,3,5,,,,,"black-diamond, the-colosseum, the-grove, the-ridge, the-silo"
0,Dancer,Phoenix,41,3,18,,4,,3,5,5,3,,,"black-rock, el-coyote, the-olympiad, the-silo"
0,Dancer,Sparky,41,15,9,,,,3,5,5,3,1,,el-coyote
3,Prancer,Boomer,41,,21,5,5,,,5,5,,,,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-grove"
1,Dasher,Trifecta,40,15,12,,,5,,,5,3,,,
1,Cupid,Sparkler,39,15,16,5,,,3,,,,,,"black-diamond, ravens-nest, the-colosseum, the-grove, the-ridge"
2,Prancer,Hank Hill,38,,22,5,5,,,5,,,,1,"black-diamond, da-grizz, el-coyote, ravens-nest, the-grove, the-olympiad"
3,Prancer,Hank Hill,37,,21,5,5,,,5,,,,1,"da-grizz, el-coyote, ravens-nest, the-colosseum, the-grove"
1,Prancer,Liberty Biberty,37,9,18,,4,,3,,,3,,,"da-grizz, ravens-nest, the-olympiad, the-silo"
0,Dasher,Doozie,36,9,18,,4,,,5,,,,,"black-rock, el-coyote, the-colosseum"
0,Donner,fuzzy navel,36,6,9,,,5,3,5,5,3,,,"da-grizz, el-coyote"
1,Donner,fuzzy navel,36,6,9,,,5,3,5,5,3,,,"da-grizz, el-coyote"
1,Rudolph,Ringo,35,6,12,,,,3,5,5,3,1,,"black-rock, el-coyote, the-colosseum"
0,Comet,Happy Camper,34,10,15,,,,3,5,,,1,,"da-grizz, the-colosseum, the-grove, the-ridge"
1,Comet,Peterbilt,34,,18,5,4,,3,,,3,1,,"da-grizz, el-coyote, the-colosseum, the-grove, the-ridge, the-silo"
3,Comet,Mahomes,33,,19,,4,,,5,5,,,,"black-diamond, the-colosseum, the-ridge"
0,Cupid,Sparkler,33,13,17,,,,,,,3,,,"black-diamond, the-colosseum, the-grove, the-ridge"
0,Dasher,Zimmer,33,3,9,,,5,3,5,5,3,,,"the-colosseum, the-ridge, the-silo"
3,Comet,Algorithm,32,,22,,5,,,5,,,,,"black-diamond, the-colosseum, the-grove, the-ridge"
0,Comet,Mahomes,32,6,6,,,5,3,5,5,,1,1,"el-coyote, the-ridge"
0,Cupid,Picasso,32,12,17,,,,,,,3,,,the-colosseum
2,Prancer,Boomer,32,,18,,4,,,5,5,,,,"da-grizz, el-coyote, ravens-nest"
1,Comet,Happy Camper,31,2,15,,,,,5,5,3,1,,"da-grizz, the-colosseum, the-grove, the-ridge"
1,Dasher,Doozie,31,6,9,,,,3,5,5,3,,,"black-rock, el-coyote, the-olympiad"
1,Donner,Mr. Kotter,31,3,22,,5,,,,,,1,,"black-diamond, the-colosseum, the-ridge"
0,Cupid,Soft Hands,30,9,13,,,,3,,5,,,,"black-rock, the-olympiad, the-ridge"
2,Dancer,Cutler,30,,20,,4,,,5,,,1,,"black-diamond, dmz, the-olympiad, the-silo"
1,Dasher,Jellystone,30,6,15,,,,3,,5,,1,,"da-grizz, el-coyote, the-colosseum, the-olympiad"
0,Dancer,Cinderella,29,3,15,,,,3,,5,3,,,"da-grizz, the-colosseum, the-ridge"
0,Dancer,Party in a bottle,29,9,12,,,,,,5,3,,,"black-rock, the-colosseum, the-olympiad, the-silo"
1,Blitzen,Schlitz,28,3,12,,,5,3,,5,,,,"da-grizz, the-grove"
1,Comet,DJ Sump Pump,28,,18,,4,,,5,,,1,,the-ridge
0,Rudolph,Foreclosure,28,8,9,,,,3,5,,3,,,"black-rock, the-ridge"
1,Dasher,Zimmer,27,3,9,,,5,,5,5,,,,"the-colosseum, the-grove, the-silo"
1,Comet,Tighty Whities,25,,15,,,,,5,5,,,,"black-rock, ravens-nest, the-colosseum, the-silo"
1,Dancer,Party in a bottle,25,9,12,,,,,,,3,1,,"the-colosseum, the-olympiad, the-ridge"
1,Prancer,Deliverance,25,,12,,,5,,,5,3,,,"da-grizz, ravens-nest, the-olympiad, the-silo"
1,Prancer,PFG,25,,18,,4,,3,,,,,,
2,Vixen,Broomstick,25,,20,,4,,,,,,1,,"black-diamond, the-grove, the-olympiad, the-ridge"
0,Blitzen,Schlitz,24,3,12,,,,3,,5,,1,,"da-grizz, the-colosseum, the-grove"
2,Vixen,Dilly Dilly,24,,19,,4,,,,,,1,,"black-diamond, the-colosseum, the-grove, the-ridge"
2,Donner,Mr. Kotter,23,,18,,4,,,,,,1,,"dmz, the-colosseum, the-grove, the-ridge"
0,Rudolph,Marinara,23,,19,,4,,,,,,,,black-rock
1,Vixen,Broomstick,23,6,14,,,,3,,,,,,"black-diamond, the-colosseum, the-ridge"
0,Comet,Pearl,22,,3,,,5,3,5,5,,1,,the-colosseum
0,Cupid,Caboose,22,,9,,,,3,5,5,,,,"the-colosseum, the-ridge"
1,Cupid,Picasso,22,9,13,,,,,,,,,,the-olympiad
4,Prancer,Boomer,22,,6,,,,,5,5,,,1,"el-coyote, the-colosseum"
4,Prancer,Hank Hill,22,,12,,,,,5,,,,,"black-rock, el-coyote, the-grove, the-silo"
1,Rudolph,Cowbell,22,,9,,,,,5,5,3,,,da-grizz
0,Rudolph,Underdog,22,9,13,,,,,,,,,,
3,Vixen,5-Putt,22,,18,,4,,,,,,,,"the-colosseum, the-ridge"
0,Vixen,Dilly Dilly,22,7,12,,,,,,,3,,,"da-grizz, the-ridge"
3,Blitzen,Schlitz,21,,15,,,,,,5,,1,,"da-grizz, the-colosseum, the-grove"
2,Comet,Pull-up,21,,16,,,,,5,,,,,"black-diamond, dmz, the-colosseum, the-grove"
0,Dancer,Dear Abby,21,6,12,,,,,,,3,,,"da-grizz, the-grove, the-ridge"
0,Dancer,Thesaurus,21,,12,,,,,5,,3,1,,"da-grizz, the-silo"
0,Dancer,TruGreen,21,,,,,5,3,5,5,3,,,
1,Dancer,TruGreen,21,,,,,5,3,5,5,3,,,
2,Blitzen,Schlitz,20,,15,,,,,,5,,,,"da-grizz, the-grove"
0,Comet,Choco Taco,20,6,6,,,,,5,,3,,,"el-coyote, the-grove"
0,Comet,DJ Sump Pump,20,,12,,,,,5,,3,,,the-ridge
0,Comet,Danica,20,,15,5,,,,,,,,,"el-coyote, the-colosseum, the-grove, the-olympiad, the-ridge"
2,Comet,Dauber,20,,15,,,,,5,,,,,"el-coyote, the-grove, the-olympiad, the-ridge"
0,Comet,Wing Stop (F3 Naperville),20,3,9,,,,3,,5,,,,the-ridge
1,Dancer,Thesaurus,20,,15,,,,,5,,,,,"black-rock, da-grizz, ravens-nest"
0,Dasher,Old Maid,20,,12,,,,,,5,3,,,"the-colosseum, the-silo"
0,Donner,Mr. Kotter,20,,15,,,,,,5,,,,"the-colosseum, the-ridge, the-silo"
1,Rudolph,Italian Ice,20,,15,,,,,,5,,,,"da-grizz, ravens-nest"
0,Dancer,Waffle House,19,,6,,,,3,5,5,,,,"the-olympiad, the-silo"
